refdes	footprint	value	mfg	mfg_PN	vendor	vendor_PN	price	documentation	source	comment	
R911	unknown	10k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R910	unknown	1M	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D903	unknown	1N4148	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D904	unknown	1N4148	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R908	unknown	15k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R909	unknown	1k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D902	unknown	1N4148	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D901	unknown	1N4148	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R907	unknown	10k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R904	unknown	5k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R903	unknown	3k9	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R905	unknown	180k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R906	unknown	47k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C902	unknown	2n2F MKT	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C901	unknown	2n2F MKT	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R902	unknown	4k7	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R901	unknown	18k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
U853	unknown	CA3140E	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
U852	unknown	CA3140E	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
U851	unknown	CA3140E	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
U803	unknown	CA3140E	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
U802	unknown	CA3140E	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
U801	unknown	CA3140E	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R854	unknown	5k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R853	unknown	2k2	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R855	unknown	180k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R856	unknown	33k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C852	unknown	4n7F MKT	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C851	unknown	4n7F MKT	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R852	unknown	3k3	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R851	unknown	18k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C803	unknown	1uF/35V	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C853	unknown	1uF/35V	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R861	unknown	10k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R860	unknown	1M	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D853	unknown	1N4148	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D854	unknown	1N4148	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R858	unknown	15k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R859	unknown	1k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D852	unknown	1N4148	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D851	unknown	1N4148	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R857	unknown	10k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R811	unknown	10k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R810	unknown	1M	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D803	unknown	1N4148	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D804	unknown	1N4148	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R808	unknown	15k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R809	unknown	1k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D802	unknown	1N4148	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D801	unknown	1N4148	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R807	unknown	10k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R804	unknown	5k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R803	unknown	3k3	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R805	unknown	100k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R806	unknown	100k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C802	unknown	10nF MKT	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C801	unknown	10nF MKT	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R802	unknown	10k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R801	unknown	10k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
U753	unknown	CA3140E	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
U752	unknown	CA3140E	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
U751	unknown	CA3140E	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
U703	unknown	CA3140E	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
U702	unknown	CA3140E	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
U701	unknown	CA3140E	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R754	unknown	5k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R753	unknown	2k2	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R755	unknown	100k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R756	unknown	82k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C752	unknown	22nF MKT	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C751	unknown	22nF MKT	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R752	unknown	8k2	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R751	unknown	10k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C703	unknown	1uF/35V	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C753	unknown	1uF/35V	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R761	unknown	10k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R760	unknown	1M	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D753	unknown	1N4148	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D754	unknown	1N4148	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R758	unknown	15k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R759	unknown	1k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D752	unknown	1N4148	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D751	unknown	1N4148	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R757	unknown	10k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R711	unknown	10k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R710	unknown	1M	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D703	unknown	1N4148	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D704	unknown	1N4148	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R708	unknown	15k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R709	unknown	1k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D702	unknown	1N4148	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D701	unknown	1N4148	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R707	unknown	10k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R704	unknown	5k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R703	unknown	2k2	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R705	unknown	100k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R706	unknown	68k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C702	unknown	47nF MKT	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C701	unknown	47nF MKT	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R702	unknown	6k8	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R701	unknown	10k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
U653	unknown	CA3140E	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
U603	unknown	CA3140E	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
U652	unknown	CA3140E	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
U651	unknown	CA3140E	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
U602	unknown	CA3140E	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
U601	unknown	CA3140E	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R654	unknown	5k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R653	unknown	2k2	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R655	unknown	120k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R656	unknown	39k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C652	unknown	100nF MKT	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C651	unknown	100nF MKT	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R652	unknown	3k9	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R651	unknown	12k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C603	unknown	1uF/35V	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C653	unknown	1uF/35V	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R661	unknown	10k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R660	unknown	1M	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D653	unknown	1N4148	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D654	unknown	1N4148	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R658	unknown	15k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R659	unknown	1k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D652	unknown	1N4148	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D651	unknown	1N4148	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R657	unknown	10k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R611	unknown	10k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R610	unknown	1M	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D603	unknown	1N4148	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D604	unknown	1N4148	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R608	unknown	15k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R609	unknown	1k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D602	unknown	1N4148	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D601	unknown	1N4148	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R607	unknown	10k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R604	unknown	5k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R603	unknown	2k2	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R605	unknown	120k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R606	unknown	22k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C602	unknown	220nF MKT	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C601	unknown	220nF MKT	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R602	unknown	2k2	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R601	unknown	12k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
S202	unknown	2P2T	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
U301	unknown	CA3140E	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R310	unknown	10k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R309	unknown	1k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D302	unknown	1N4148	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D303	unknown	1N4148	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
A305	unknown	FILTER+DETECTOR	unknown	unknown	unknown	unknown	unknown	unknown	26.000.00.01.07.sch	unknown	
A304	unknown	FILTER+DETECTOR	unknown	unknown	unknown	unknown	unknown	unknown	26.000.00.01.06.sch	unknown	
A303	unknown	FILTER+DETECTOR	unknown	unknown	unknown	unknown	unknown	unknown	26.000.00.01.05.sch	unknown	
A302	unknown	FILTER+DETECTOR	unknown	unknown	unknown	unknown	unknown	unknown	26.000.00.01.04.sch	unknown	
A301	unknown	FILTER+DETECTOR	unknown	unknown	unknown	unknown	unknown	unknown	26.000.00.01.03.sch	unknown	
D301	unknown	1N4004	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C312	unknown	100uF/63V	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C311	unknown	100nF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C310	unknown	100nF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C309	unknown	100nF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C308	unknown	100nF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C307	unknown	100nF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C306	unknown	100nF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C305	unknown	100nF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C304	unknown	100nF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C303	unknown	100nF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C302	unknown	100nF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R207	unknown	150 / 2W	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R308	unknown	1k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R305	unknown	1M	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R306	unknown	1M	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D204	unknown	RED	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R211	RES1270-635X229____0.5W	680	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R303	unknown	47k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R304	unknown	4k7	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C314	unknown	100nF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C313	unknown	10uF/35V	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
S201	CONNECTOR 2 3	2P2T	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R302	unknown	10k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R201	unknown	100k lin	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C201	unknown	680nF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
101b	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
101a	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
U?	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
021	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
019	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
017	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
015	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
013	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
011	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
009	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
007	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
005	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
003	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
020	unknown	f=16kHz	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
016	unknown	f=4kHz	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
018	unknown	f=8kHz	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
002	unknown	f=31.5Hz	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
004	unknown	f=63Hz	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
006	unknown	f=125Hz	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
008	unknown	f=250Hz	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
014	unknown	f=2kHz	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
010	unknown	f=500Hz	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
012	unknown	f=1kHz	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
001	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
