refdes	footprint	value	mfg	mfg_PN	vendor	vendor_PN	price	documentation	source	comment	
P801	CON-SIL-254P-8N____.fp	unknown	MPE Garry	088-1-008-0-S-XS0-1080	Conrad	733919	0.29	unknown	unknown	unknown	
C852	CAPC3216N____.fp	4n7F	Yageo	CC1206KRX7R9BB472	Conrad	445585	0.14	unknown	unknown	unknown	
R853	RESC3216N____.fp	3k3	Yageo	RC1206JR-073k3L	Conrad	402605	0.10	unknown	unknown	unknown	
C802	CAPC3216N____.fp	10nF	Yageo	CC1206KRX7R9BN103	Conrad	445449	0.14	unknown	unknown	unknown	
R806	RESC3216N____.fp	100k	Yageo	RC1206JR-07100kL	Conrad	402788	0.10	unknown	unknown	unknown	
C855	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
C854	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
C857	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
C856	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
C859	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
C858	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
C808	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
C809	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
C807	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
C806	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
C804	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
C805	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
U853	SOIC127P600X155-8N____.fp	CA3140M	Harris	CA3140M	Conrad	142107	1.59	unknown	unknown	unknown	
U852	SOIC127P600X155-8N____.fp	CA3140M	Harris	CA3140M	Conrad	142107	1.59	unknown	unknown	unknown	
U851	SOIC127P600X155-8N____.fp	CA3140M	Harris	CA3140M	Conrad	142107	1.59	unknown	unknown	unknown	
U803	SOIC127P600X155-8N____.fp	CA3140M	Harris	CA3140M	Conrad	142107	1.59	unknown	unknown	unknown	
U802	SOIC127P600X155-8N____.fp	CA3140M	Harris	CA3140M	Conrad	142107	1.59	unknown	unknown	unknown	
U801	SOIC127P600X155-8N____.fp	CA3140M	Harris	CA3140M	Conrad	142107	1.59	unknown	unknown	unknown	
R854	TRIM_Panasonic_EVM1D__.fp	5k	Panasonic	EVM1D	Conrad	421028	0.63	unknown	unknown	unknown	
R855	RESC3216N____.fp	180k	Yageo	RC1206JR-07180kL	Conrad	402818	0.10	unknown	unknown	unknown	
R856	RESC3216N____.fp	33k	Yageo	RC1206JR-0733kL	Conrad	402729	0.10	unknown	unknown	unknown	
C851	CAPC3216N____.fp	4n7F	Yageo	CC1206KRX7R9BB472	Conrad	445585	0.14	unknown	unknown	unknown	
R852	RESC3216N____.fp	3k3	Yageo	RC1206JR-073k3L	Conrad	402605	0.10	unknown	unknown	unknown	
R851	RESC3216N____.fp	18k	Yageo	RC1206JR-0718kL	Conrad	402699	0.10	unknown	unknown	unknown	
C803	CAPAE400X530N____.fp	1uF/50V	Samwha	RC1H105M04005VR	Conrad	421551	0.15	unknown	unknown	unknown	
C853	CAPAE400X530N____.fp	1uF/50V	Samwha	RC1H105M04005VR	Conrad	421551	0.15	unknown	unknown	unknown	
R861	TRIM_Panasonic_EVM1D__.fp	10k	Panasonic	EVM1D	Conrad	421041	0.63	unknown	unknown	unknown	
R460	RESC3216N____.fp	1M	Yageo	RC1206JR-071ML	Conrad	402907	0.10	unknown	unknown	unknown	
D853	DIOMELF3216X16N____.fp	LL4148	Diotec	LL4148	Conrad	140902	0.10	unknown	unknown	unknown	
D854	DIOMELF3216X16N____.fp	LL4148	Diotec	LL4148	Conrad	140902	0.10	unknown	unknown	unknown	
R858	RESC3216N____.fp	15k	Yageo	RC1206JR-0715kL	Conrad	402680	0.10	unknown	unknown	unknown	
R859	RESC3216N____.fp	1k	Yageo	RC1206JR-071kL	Conrad	402540	0.10	unknown	unknown	unknown	
D852	DIOMELF3216X16N____.fp	LL4148	Diotec	LL4148	Conrad	140902	0.10	unknown	unknown	unknown	
D851	DIOMELF3216X16N____.fp	LL4148	Diotec	LL4148	Conrad	140902	0.10	unknown	unknown	unknown	
R857	RESC3216N____.fp	10k	Yageo	RC1206JR-0710kL	Conrad	402664	0.10	unknown	unknown	unknown	
R811	TRIM_Panasonic_EVM1D__.fp	10k	Panasonic	EVM1D	Conrad	421041	0.63	unknown	unknown	unknown	
R810	RESC3216N____.fp	1M	Yageo	RC1206JR-071ML	Conrad	402907	0.10	unknown	unknown	unknown	
