refdes	footprint	value	mfg	mfg_PN	vendor	vendor_PN	price	documentation	source	comment	
C655	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
C654	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
C657	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
C656	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
C659	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
C658	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
C608	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
C609	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
C607	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
C606	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
C604	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
C605	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
P601	CON-SIL-254P-8N____.fp	unknown	MPE Garry	088-1-008-0-S-XS0-1080	Conrad	733919	0.29	unknown	unknown	unknown	
U653	SOIC127P600X155-8N____.fp	CA3140M	Harris	CA3140M	Conrad	142107	1.59	unknown	unknown	unknown	
U652	SOIC127P600X155-8N____.fp	CA3140M	Harris	CA3140M	Conrad	142107	1.59	unknown	unknown	unknown	
U651	SOIC127P600X155-8N____.fp	CA3140M	Harris	CA3140M	Conrad	142107	1.59	unknown	unknown	unknown	
U603	SOIC127P600X155-8N____.fp	CA3140M	Harris	CA3140M	Conrad	142107	1.59	unknown	unknown	unknown	
U602	SOIC127P600X155-8N____.fp	CA3140M	Harris	CA3140M	Conrad	142107	1.59	unknown	unknown	unknown	
U601	SOIC127P600X155-8N____.fp	CA3140M	Harris	CA3140M	Conrad	142107	1.59	unknown	unknown	unknown	
R654	TRIM_Panasonic_EVM1D__.fp	5k	Panasonic	EVM1D	Conrad	421028	0.63	unknown	unknown	unknown	
R653	RESC3216N____.fp	2k2	Yageo	RC1206JR-072k2L	Conrad	402583	0.10	unknown	unknown	unknown	
R655	RESC3216N____.fp	120k	Yageo	RC1206JR-07120kL	Conrad	402796	0.10	unknown	unknown	unknown	
R656	RESC3216N____.fp	39k	Yageo	RC1206JR-0739kL	Conrad	402737	0.10	unknown	unknown	unknown	
C652	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
C651	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
R652	RESC3216N____.fp	3k9	Yageo	RC1206JR-073k9L	Conrad	402613	0.10	unknown	unknown	unknown	
R651	RESC3216N____.fp	12k	Yageo	RC1206JR-0712kL	Conrad	402672	0.10	unknown	unknown	unknown	
C603	CAPAE400X530N____.fp	1uF/50V	Samwha	RC1H105M04005VR	Conrad	421551	0.15	unknown	unknown	unknown	
C653	CAPAE400X530N____.fp	1uF/50V	Samwha	RC1H105M04005VR	Conrad	421551	0.15	unknown	unknown	unknown	
R661	TRIM_Panasonic_EVM1D__.fp	10k	Panasonic	EVM1D	Conrad	421041	0.63	unknown	unknown	unknown	
R660	RESC3216N____.fp	1M	Yageo	RC1206JR-071ML	Conrad	402907	0.10	unknown	unknown	unknown	
D653	DIOMELF3216X16N____.fp	LL4148	Diotec	LL4148	Conrad	140902	0.10	unknown	unknown	unknown	
D654	DIOMELF3216X16N____.fp	LL4148	Diotec	LL4148	Conrad	140902	0.10	unknown	unknown	unknown	
R658	RESC3216N____.fp	15k	Yageo	RC1206JR-0715kL	Conrad	402680	0.10	unknown	unknown	unknown	
R659	RESC3216N____.fp	1k	Yageo	RC1206JR-071kL	Conrad	402540	0.10	unknown	unknown	unknown	
D652	DIOMELF3216X16N____.fp	LL4148	Diotec	LL4148	Conrad	140902	0.10	unknown	unknown	unknown	
D651	DIOMELF3216X16N____.fp	LL4148	Diotec	LL4148	Conrad	140902	0.10	unknown	unknown	unknown	
R657	RESC3216N____.fp	10k	Yageo	RC1206JR-0710kL	Conrad	402664	0.10	unknown	unknown	unknown	
R611	TRIM_Panasonic_EVM1D__.fp	10k	Panasonic	EVM1D	Conrad	421041	0.63	unknown	unknown	unknown	
R610	RESC3216N____.fp	1M	Yageo	RC1206JR-071ML	Conrad	402907	0.10	unknown	unknown	unknown	
D603	DIOMELF3216X16N____.fp	LL4148	Diotec	LL4148	Conrad	140902	0.10	unknown	unknown	unknown	
D604	DIOMELF3216X16N____.fp	LL4148	Diotec	LL4148	Conrad	140902	0.10	unknown	unknown	unknown	
R608	RESC3216N____.fp	15k	Yageo	RC1206JR-0715kL	Conrad	402680	0.10	unknown	unknown	unknown	
R609	RESC3216N____.fp	1k	Yageo	RC1206JR-071kL	Conrad	402540	0.10	unknown	unknown	unknown	
D602	DIOMELF3216X16N____.fp	LL4148	Diotec	LL4148	Conrad	140902	0.10	unknown	unknown	unknown	
D601	DIOMELF3216X16N____.fp	LL4148	Diotec	LL4148	Conrad	140902	0.10	unknown	unknown	unknown	
R607	RESC3216N____.fp	10k	Yageo	RC1206JR-0710kL	Conrad	402664	0.10	unknown	unknown	unknown	
R604	TRIM_Panasonic_EVM1D__.fp	5k	Panasonic	EVM1D	Conrad	421028	0.63	unknown	unknown	unknown	
R603	RESC3216N____.fp	2k2	Yageo	RC1206JR-072k2L	Conrad	402583	0.10	unknown	unknown	unknown	
R605	RESC3216N____.fp	120k	Yageo	RC1206JR-07120kL	Conrad	402796	0.10	unknown	unknown	unknown	
R606	RESC3216N____.fp	22k	Yageo	RC1206JR-0722kL	Conrad	402702	0.10	unknown	unknown	unknown	
C602	CAPC3216N____.fp	220nF	Yageo	CC1206JRX7R8BB224 	Conrad	445297	0.19	unknown	unknown	unknown	
C601	CAPC3216N____.fp	220nF	Yageo	CC1206JRX7R8BB224 	Conrad	445297	0.19	unknown	unknown	unknown	
R602	RESC3216N____.fp	2k2	Yageo	RC1206JR-072k2L	Conrad	402583	0.10	unknown	unknown	unknown	
R601	RESC3216N____.fp	12k	Yageo	RC1206JR-0712kL	Conrad	402672	0.10	unknown	unknown	unknown	
